[385, '?', 9]
[317, '?', 3]
['?', 13, 3]
['?', 166, 5]
[234, '?', 26]
['?', 238, 26]
[147, '?', 20]
['?', 148, 20]
[369, '?', 18]
['?', 367, 18]
[223, '?', 27]
['?', 434, 24]
['?', 29, 22]
['?', 46, 4]
['?', 545, 1]
['?', 286, 18]
['?', 385, 10]
['?', 21, 3]
[159, '?', 5]
['?', 158, 5]
[449, '?', 3]
['?', 335, 3]
[265, '?', 1]
[157, '?', 5]
['?', 41, 5]
[256, '?', 1]
['?', 19, 1]
[91, '?', 21]
['?', 29, 24]
['?', 269, 1]
[220, '?', 11]
['?', 221, 11]
['?', 583, 1]
['?', 202, 22]
[96, '?', 9]
['?', 8, 9]
[20, '?', 4]
['?', 64, 8]
['?', 205, 10]
['?', 364, 10]
[36, '?', 3]
['?', 4, 3]
['?', 344, 4]
[80, '?', 9]
[543, '?', 11]
['?', 544, 11]
[27, '?', 1]
[401, '?', 28]
[91, '?', 16]
[129, '?', 1]
['?', 128, 1]
[23, '?', 4]
['?', 111, 22]
['?', 49, 10]
[102, '?', 3]
[147, '?', 16]
[381, '?', 4]
['?', 192, 1]
[717, '?', 12]
['?', 716, 12]
[457, '?', 4]
['?', 86, 4]
[234, '?', 3]
['?', 235, 3]
['?', 572, 1]
[343, '?', 1]
['?', 342, 1]
[22, '?', 18]
['?', 256, 18]
['?', 673, 27]
['?', 317, 4]
['?', 427, 1]
[316, '?', 4]
['?', 228, 27]
[554, '?', 12]
['?', 553, 12]
[196, '?', 25]
['?', 202, 25]
[79, '?', 5]
['?', 42, 5]
[363, '?', 9]
['?', 277, 1]
[50, '?', 5]
['?', 52, 5]
[299, '?', 20]
['?', 360, 20]
['?', 94, 10]
[127, '?', 26]
['?', 91, 26]
[295, '?', 21]
['?', 427, 24]
[364, '?', 4]
[600, '?', 23]
[10, '?', 9]
[344, '?', 9]
[196, '?', 6]
['?', 37, 10]
[103, '?', 3]
['?', 226, 3]
[322, '?', 1]
['?', 476, 10]
['?', 329, 4]
[69, '?', 15]
['?', 67, 15]
[124, '?', 1]
['?', 367, 6]
[18, '?', 4]
['?', 16, 4]
[256, '?', 23]
['?', 22, 23]
['?', 161, 1]
['?', 423, 10]
[572, '?', 21]
[226, '?', 21]
[458, '?', 5]
['?', 477, 5]
[19, '?', 16]
['?', 22, 16]
['?', 86, 10]
[37, '?', 4]
[63, '?', 4]
['?', 115, 4]
[679, '?', 12]
['?', 678, 12]
[267, '?', 24]
['?', 269, 24]
['?', 190, 1]
[572, '?', 1]
[427, '?', 1]
['?', 602, 22]
['?', 38, 10]
['?', 123, 27]
['?', 109, 22]
['?', 54, 4]
[94, '?', 9]
[399, '?', 13]
[373, '?', 24]
['?', 372, 24]
['?', 361, 25]
[190, '?', 1]
['?', 130, 1]
['?', 337, 4]
['?', 58, 13]
[518, '?', 18]
['?', 520, 18]
['?', 79, 10]
['?', 583, 22]
[425, '?', 5]
['?', 103, 5]
['?', 217, 24]
[367, '?', 23]
['?', 369, 23]
[51, '?', 5]
['?', 50, 5]
[54, '?', 3]
['?', 55, 3]
['?', 183, 27]
['?', 206, 10]
['?', 212, 10]
[45, '?', 1]
